,district,school,primary_job,fte,salary,certificate,subcategory,teaching_route,highly_qualified,experience_district,experience_nj,experience_total
29604,180,475,0,1.0,52425,1,2,1,5,0.0,0.0,0.0
29606,180,475,0,1.0,51500,5,4,1,5,0.0,0.0,0.0
29608,180,475,0,1.0,54825,5,2,1,5,2.0,2.0,2.0
29609,180,475,0,1.0,53200,5,2,1,5,4.0,4.0,4.0
29610,180,475,0,1.0,18500,1,2,1,5,6.0,6.0,6.0
29611,180,475,0,1.0,61825,5,2,1,5,7.0,7.0,7.0
29613,180,475,0,1.0,67505,5,2,1,5,13.0,13.0,13.0
29614,180,475,0,1.0,93375,5,2,1,5,17.0,24.0,24.0
29616,180,475,0,1.0,80000,5,2,1,5,16.0,16.0,16.0
29619,180,475,0,1.0,64300,5,2,1,5,9.0,10.0,10.0
29620,180,475,0,1.0,63150,5,2,1,5,10.0,10.0,10.0
29623,180,475,0,1.0,60375,5,2,1,5,11.0,11.0,11.0
29624,180,475,0,1.0,59225,5,2,1,5,11.0,11.0,11.0
29626,180,475,0,1.0,60375,5,2,1,5,13.0,13.0,13.0
29627,180,475,0,1.0,60375,5,4,1,5,13.0,13.0,13.0
29628,180,475,0,1.0,54685,5,2,1,5,7.0,7.0,7.0
29631,180,475,0,1.0,57025,5,2,1,5,6.0,6.0,6.0
29632,180,475,0,1.0,94275,5,2,1,5,17.0,18.0,18.0
29634,180,475,0,1.0,58075,5,2,1,5,10.0,10.0,10.0
29635,180,475,0,1.0,59225,5,2,1,5,10.0,10.0,10.0
29636,180,475,0,1.0,50500,5,2,1,5,1.0,1.0,1.0
29637,180,475,0,1.0,50900,5,2,1,5,2.0,2.0,2.0
29640,180,268,0,1.0,51700,5,4,1,5,4.0,4.0,4.0
29645,180,268,0,1.0,93375,5,2,1,5,20.0,20.0,20.0
29647,180,268,0,1.0,57000,5,2,1,5,8.0,8.0,8.0
29649,180,268,0,1.0,66350,5,2,1,5,14.0,14.0,14.0
29650,180,268,0,1.0,59225,5,2,1,5,9.0,9.0,9.0
29651,180,268,0,1.0,59225,5,2,1,5,10.0,10.0,10.0
29652,180,268,0,1.0,61875,5,2,1,5,12.0,12.0,12.0
29657,180,268,0,1.0,69605,5,2,1,5,13.0,13.0,13.0
29659,180,268,0,1.0,93375,5,2,1,5,15.0,20.0,20.0
29660,180,268,0,1.0,78500,5,2,1,5,15.0,15.0,15.0
29661,180,268,0,1.0,78500,5,2,1,5,15.0,15.0,15.0
29663,180,268,0,1.0,67505,5,2,1,5,14.0,14.0,14.0
29664,180,268,0,1.0,53185,5,2,1,5,6.0,6.0,6.0
29666,180,268,0,1.0,82425,5,2,1,5,16.0,16.0,16.0
29667,180,268,0,1.0,62000,5,2,1,5,8.0,8.0,8.0
29668,180,268,0,1.0,60375,5,2,1,5,15.0,15.0,15.0
29670,180,268,0,1.0,59225,5,2,1,5,10.0,10.0,10.0
29671,180,268,0,1.0,66350,5,2,1,5,14.0,14.0,14.0
29672,180,268,0,1.0,59225,5,2,1,5,11.0,11.0,11.0
29673,180,268,0,1.0,53925,5,2,1,5,0.0,0.0,0.0
29677,180,999,0,1.0,78500,5,2,1,5,17.0,17.0,17.0
29684,180,1765,0,1.0,53185,5,4,1,5,6.0,6.0,6.0
29686,180,140,0,1.0,90950,5,2,1,1,24.0,24.0,24.0
29694,180,801,0,1.0,95200,5,2,1,1,22.0,22.0,22.0
29695,180,801,0,1.0,89450,5,2,1,1,16.0,19.0,19.0
29696,180,601,0,1.0,90950,5,2,1,1,27.0,27.0,27.0
29699,180,594,0,1.0,94275,5,2,1,1,29.0,29.0,29.0
29701,180,594,0,1.0,93375,5,2,1,1,31.0,31.0,31.0
29719,180,475,0,1.0,94275,5,2,1,1,29.0,29.0,29.0
29721,180,475,0,1.0,93375,5,4,1,1,13.0,23.0,23.0
29724,180,268,0,1.0,93375,5,2,1,1,15.0,19.0,19.0
29725,180,268,0,1.0,91875,5,2,1,1,29.0,29.0,29.0
29726,180,268,0,1.0,94275,5,2,1,1,20.0,20.0,20.0
29728,180,268,0,1.0,93375,5,2,1,1,23.0,23.0,23.0
29741,180,140,0,1.0,90950,5,2,1,1,31.0,31.0,31.0
29747,180,1765,0,1.0,51700,5,2,1,5,3.0,3.0,3.0
29748,180,1765,0,1.0,57025,5,2,1,5,2.0,2.0,2.0
